epoch,train_loss,val_ber,lr,elapsed_s
1,0.261365,0.184311,2.99e-04,38.5
2,0.248483,0.176403,2.97e-04,25.4
3,0.245896,0.18441,2.93e-04,23.8
4,0.244334,0.175723,2.87e-04,25.2
5,0.243125,0.172055,2.80e-04,25.3
6,0.242264,0.17335,2.71e-04,23.8
7,0.241347,0.174153,2.62e-04,26.6
8,0.240774,0.175221,2.51e-04,25.5
9,0.240036,0.166581,2.38e-04,23.6
10,0.239601,0.169916,2.25e-04,25.5
11,0.238984,0.170315,2.11e-04,25.4
12,0.238516,0.179957,1.97e-04,23.9
13,0.238117,0.175232,1.82e-04,25.1
14,0.237772,0.169618,1.66e-04,25.5
15,0.237284,0.168003,1.50e-04,25.6
16,0.236914,0.168571,1.35e-04,25.3
17,0.236557,0.169346,1.19e-04,25.1
18,0.236344,0.165716,1.04e-04,24.2
19,0.235993,0.165004,8.97e-05,25.4
20,0.235708,0.166182,7.58e-05,24.4
21,0.235452,0.165465,6.26e-05,26.4
22,0.235215,0.169444,5.05e-05,24.4
23,0.234999,0.168797,3.94e-05,25.1
24,0.234843,0.169183,2.96e-05,25.1
25,0.234673,0.16855,2.10e-05,25.5
26,0.23451,0.169013,1.39e-05,25.0
27,0.234393,0.167906,8.32e-06,24.1
28,0.234391,0.167634,4.27e-06,25.1
29,0.234273,0.16831,1.82e-06,26.5
