epoch,train_loss,val_ber,lr,elapsed_s
1,0.457478,0.160547,2.99e-04,19.4
2,0.311184,0.152941,2.97e-04,4.1
3,0.302175,0.15053,2.93e-04,4.2
4,0.297807,0.14837,2.87e-04,4.1
5,0.295015,0.14728,2.80e-04,4.2
6,0.293193,0.146915,2.71e-04,4.2
7,0.291575,0.146431,2.62e-04,3.9
8,0.29051,0.145704,2.51e-04,6.8
9,0.289682,0.145517,2.38e-04,3.8
10,0.288625,0.145637,2.25e-04,4.0
11,0.287914,0.145382,2.11e-04,4.1
12,0.287198,0.145011,1.97e-04,3.9
13,0.286659,0.145279,1.82e-04,3.8
14,0.286085,0.145313,1.66e-04,3.9
15,0.285523,0.145208,1.50e-04,3.8
16,0.285055,0.145515,1.35e-04,6.7
17,0.284477,0.144807,1.19e-04,3.8
18,0.284204,0.145051,1.04e-04,3.8
19,0.283746,0.144951,8.97e-05,3.8
20,0.283438,0.145238,7.58e-05,3.8
21,0.283145,0.145165,6.26e-05,3.8
22,0.282844,0.145187,5.05e-05,3.8
23,0.282581,0.145088,3.94e-05,3.8
24,0.282451,0.145206,2.96e-05,3.9
25,0.282163,0.145217,2.10e-05,6.7
26,0.28205,0.145182,1.39e-05,3.8
27,0.28193,0.145118,8.32e-06,3.8
