epoch,train_loss,val_ber,lr,elapsed_s
1,0.432241,0.158981,2.99e-04,20.0
2,0.307003,0.154374,2.97e-04,3.8
3,0.301227,0.153035,2.93e-04,3.8
4,0.29829,0.152407,2.87e-04,3.8
5,0.296173,0.151411,2.80e-04,3.8
6,0.294367,0.15106,2.71e-04,3.6
7,0.292868,0.150388,2.62e-04,3.5
8,0.291634,0.15018,2.51e-04,3.5
9,0.290558,0.150268,2.38e-04,4.8
10,0.289778,0.150305,2.25e-04,3.5
11,0.288818,0.149882,2.11e-04,3.6
12,0.287902,0.149693,1.97e-04,3.6
13,0.287275,0.150146,1.82e-04,3.6
14,0.286746,0.149835,1.66e-04,3.6
15,0.285927,0.149455,1.50e-04,3.5
16,0.285333,0.149582,1.35e-04,3.5
17,0.284914,0.14985,1.19e-04,3.5
18,0.284218,0.149565,1.04e-04,6.5
19,0.283792,0.149601,8.97e-05,3.5
20,0.283397,0.149841,7.58e-05,3.5
21,0.283001,0.149833,6.26e-05,3.5
22,0.282704,0.149629,5.05e-05,3.5
23,0.282374,0.149676,3.94e-05,3.5
24,0.282145,0.149706,2.96e-05,3.5
25,0.281954,0.149912,2.10e-05,3.5
