epoch,steps,train_loss,synth_val_loss,synth_val_ber,zhu_val_ber,lr,elapsed_s
1,1954,0.273462,0.234327,0.120489,0.455577,9.99e-04,67.1
2,3908,0.2278,0.226883,0.117127,0.46619,9.95e-04,51.7
3,5862,0.224458,0.224971,0.116109,0.464455,9.88e-04,54.7
4,7816,0.223189,0.226332,0.116797,0.464114,9.78e-04,51.2
5,9770,0.222332,0.223229,0.115159,0.464674,9.66e-04,54.2
6,11724,0.221734,0.223219,0.115403,0.464172,9.50e-04,51.2
7,13678,0.221243,0.222788,0.11494,0.46187,9.31e-04,54.2
8,15632,0.220837,0.222176,0.114696,0.460455,9.10e-04,51.3
9,17586,0.220523,0.222285,0.114713,0.460077,8.86e-04,54.7
10,19540,0.220235,0.22193,0.114499,0.460807,8.60e-04,51.3
11,21494,0.219987,0.22183,0.114566,0.457926,8.32e-04,51.1
12,23448,0.219736,0.222162,0.115062,0.458692,8.02e-04,55.4
13,25402,0.219484,0.221567,0.11445,0.46106,7.69e-04,51.0
14,27356,0.219274,0.221346,0.114149,0.461885,7.36e-04,54.0
15,29310,0.219084,0.22107,0.11406,0.461118,7.00e-04,52.1
16,31264,0.218881,0.221011,0.114233,0.462593,6.64e-04,55.2
17,33218,0.218701,0.221156,0.114162,0.46107,6.26e-04,53.9
18,35172,0.218559,0.22086,0.114017,0.458848,5.88e-04,54.3
19,37126,0.2184,0.220738,0.113918,0.464573,5.49e-04,55.6
20,39080,0.218242,0.220906,0.114104,0.463801,5.10e-04,67.6
21,41034,0.218095,0.220986,0.114082,0.461847,4.71e-04,67.0
22,42988,0.217952,0.221223,0.114589,0.460077,4.32e-04,66.6
23,44942,0.217804,0.220643,0.113918,0.459262,3.94e-04,66.7
24,46896,0.217678,0.220541,0.113789,0.463323,3.56e-04,66.7
25,48850,0.217557,0.220782,0.113988,0.461982,3.19e-04,69.3
26,50804,0.217436,0.220498,0.113751,0.461293,2.83e-04,67.6
27,52758,0.217322,0.220478,0.113803,0.46059,2.49e-04,66.6
28,54712,0.217216,0.220492,0.113742,0.460987,2.16e-04,64.1
29,56666,0.217127,0.220488,0.113794,0.459835,1.86e-04,64.8
30,58620,0.217017,0.220412,0.113744,0.460135,1.57e-04,64.1
31,60574,0.216932,0.220407,0.11372,0.461045,1.30e-04,64.4
32,62528,0.21685,0.220591,0.113971,0.460094,1.06e-04,64.3
33,64482,0.21678,0.220419,0.113773,0.461375,8.39e-05,61.4
34,66436,0.216722,0.220404,0.113774,0.460253,6.46e-05,64.6
35,68390,0.216663,0.220424,0.113762,0.460616,4.82e-05,64.6
36,70344,0.216619,0.220404,0.113729,0.461227,3.45e-05,64.4
37,72298,0.216585,0.220388,0.113754,0.460315,2.39e-05,63.9
38,74252,0.216552,0.220404,0.113772,0.460315,1.62e-05,61.9
39,76206,0.216528,0.220389,0.113752,0.460519,1.15e-05,64.5
40,78160,0.216518,0.220402,0.113793,0.460397,1.00e-05,63.9
