epoch,steps,train_loss,synth_val_loss,synth_val_ber,zhu_val_ber,lr,elapsed_s
1,977,0.307369,0.25006,0.128371,0.446214,1.00e-03,28.7
2,1954,0.243776,0.239972,0.12566,0.45441,9.97e-04,28.9
3,2931,0.232494,0.228656,0.117929,0.465041,9.90e-04,29.0
4,3908,0.226353,0.227065,0.116734,0.46536,9.81e-04,28.9
5,4885,0.225045,0.225715,0.116363,0.461015,9.69e-04,28.6
6,5862,0.224183,0.225871,0.116635,0.465219,9.54e-04,28.6
7,6839,0.223505,0.224594,0.115901,0.465054,9.36e-04,28.5
8,7816,0.222941,0.224541,0.115826,0.464063,9.15e-04,28.5
9,8793,0.222493,0.224006,0.115665,0.462964,8.91e-04,29.0
10,9770,0.222101,0.223536,0.115334,0.463739,8.66e-04,28.5
11,10747,0.221685,0.223222,0.115155,0.464121,8.37e-04,28.6
12,11724,0.221387,0.223061,0.11506,0.463923,8.07e-04,28.6
13,12701,0.221045,0.223002,0.114907,0.467722,7.75e-04,28.5
14,13678,0.220798,0.223142,0.115089,0.467083,7.41e-04,28.6
15,14655,0.220468,0.222949,0.115056,0.466203,7.06e-04,28.9
16,15632,0.220234,0.222655,0.11492,0.464702,6.69e-04,28.5
17,16609,0.219908,0.222654,0.115072,0.463411,6.32e-04,28.5
18,17586,0.219676,0.222506,0.114811,0.464444,5.93e-04,28.5
19,18563,0.219409,0.222491,0.11486,0.462936,5.54e-04,28.4
20,19540,0.219158,0.2223,0.114692,0.46243,5.15e-04,28.5
21,20517,0.21892,0.222481,0.11459,0.464575,4.76e-04,29.5
22,21494,0.218661,0.222253,0.114721,0.464485,4.37e-04,28.8
23,22471,0.218402,0.222025,0.114657,0.464457,3.98e-04,28.6
24,23448,0.218151,0.222311,0.115061,0.467151,3.60e-04,28.6
25,24425,0.21792,0.222065,0.114678,0.466847,3.23e-04,28.5
26,25402,0.217699,0.222118,0.114561,0.462973,2.87e-04,28.5
27,26379,0.217504,0.221968,0.114576,0.464886,2.52e-04,28.5
28,27356,0.217326,0.221848,0.114528,0.463563,2.19e-04,28.7
29,28333,0.217142,0.221824,0.114553,0.465704,1.88e-04,28.5
30,29310,0.216972,0.221901,0.114499,0.461712,1.59e-04,28.5
31,30287,0.216827,0.22198,0.114622,0.462705,1.32e-04,28.6
32,31264,0.216686,0.221833,0.114556,0.464153,1.07e-04,28.5
