epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.491075,0.266546,0.162441,1.75e-04,8.2
2,0.303198,0.152569,0.148571,3.00e-04,8.0
3,0.290634,0.146169,0.145931,2.98e-04,8.9
4,0.285192,0.143417,0.144033,2.95e-04,9.3
5,0.281466,0.141558,0.142844,2.90e-04,8.0
6,0.278468,0.139942,0.142207,2.83e-04,8.1
7,0.276353,0.138576,0.142304,2.75e-04,8.0
8,0.273741,0.137212,0.142668,2.65e-04,8.6
9,0.271314,0.135478,0.143338,2.54e-04,7.8
10,0.267955,0.133664,0.143872,2.41e-04,7.9
11,0.263922,0.131222,0.145024,2.27e-04,8.2
12,0.258929,0.128106,0.14713,2.13e-04,8.8
13,0.25275,0.124232,0.148166,1.97e-04,8.1
14,0.245724,0.119903,0.150013,1.81e-04,8.7
15,0.238083,0.115383,0.151961,1.65e-04,9.1
16,0.229643,0.110628,0.15396,1.48e-04,8.0
