epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.517862,0.268423,0.162006,1.75e-04,8.7
2,0.361197,0.152428,0.147718,3.00e-04,8.6
3,0.350787,0.145737,0.144427,2.98e-04,8.4
4,0.345921,0.142552,0.142405,2.95e-04,9.7
5,0.342861,0.14045,0.141281,2.90e-04,8.5
6,0.340568,0.138602,0.140961,2.83e-04,8.4
7,0.338652,0.137204,0.140566,2.75e-04,8.3
8,0.336442,0.135808,0.140907,2.65e-04,8.3
9,0.334114,0.133708,0.141218,2.54e-04,8.0
10,0.331288,0.131486,0.142546,2.41e-04,7.9
11,0.32796,0.128723,0.1442,2.27e-04,8.3
12,0.323609,0.125122,0.145097,2.13e-04,8.5
13,0.318729,0.121092,0.146613,1.97e-04,8.2
14,0.312451,0.116247,0.148554,1.81e-04,8.1
15,0.306057,0.111473,0.150174,1.65e-04,8.7
16,0.299124,0.106359,0.151501,1.48e-04,8.5
17,0.292367,0.101545,0.153707,1.32e-04,8.3
