epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.486693,0.267054,0.160991,1.75e-04,8.3
2,0.302082,0.152304,0.147615,3.00e-04,8.1
3,0.290253,0.146048,0.144858,2.98e-04,8.3
4,0.284621,0.143124,0.142683,2.95e-04,8.3
5,0.28093,0.140961,0.142111,2.90e-04,9.3
6,0.278023,0.139145,0.141416,2.83e-04,8.3
7,0.275687,0.137806,0.14124,2.75e-04,7.9
8,0.273048,0.136498,0.14145,2.65e-04,8.1
9,0.270194,0.134718,0.141371,2.54e-04,8.7
10,0.266752,0.132581,0.142864,2.41e-04,8.2
11,0.262844,0.130028,0.14417,2.27e-04,8.4
12,0.25759,0.126687,0.144775,2.13e-04,8.6
13,0.251666,0.12301,0.14648,1.97e-04,8.8
14,0.244352,0.118557,0.149178,1.81e-04,8.2
15,0.236685,0.114011,0.150991,1.65e-04,8.3
16,0.228308,0.109247,0.152606,1.48e-04,8.1
17,0.219906,0.104582,0.154537,1.32e-04,8.1
