epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.142622,0.289741,0.173187,1.75e-04,8.9
2,0.081788,0.157777,0.150279,3.00e-04,7.9
3,0.07741,0.14851,0.146958,2.98e-04,7.8
4,0.076057,0.145805,0.14539,2.95e-04,8.0
5,0.075118,0.143712,0.144095,2.90e-04,8.1
6,0.074441,0.142242,0.143357,2.83e-04,8.1
7,0.073884,0.141064,0.142947,2.75e-04,8.9
8,0.073292,0.140174,0.142445,2.65e-04,7.8
9,0.072779,0.139137,0.142413,2.54e-04,7.9
10,0.0722,0.138122,0.142409,2.41e-04,8.0
11,0.071691,0.137028,0.143546,2.27e-04,8.6
12,0.071027,0.135808,0.143529,2.13e-04,8.2
13,0.070274,0.134279,0.144612,1.97e-04,8.7
14,0.069332,0.132379,0.146017,1.81e-04,8.4
15,0.068258,0.130214,0.147297,1.65e-04,8.5
16,0.067034,0.127629,0.14832,1.48e-04,7.9
17,0.065635,0.124788,0.150099,1.32e-04,8.8
18,0.064219,0.121632,0.151759,1.15e-04,8.2
19,0.062763,0.118496,0.152184,9.94e-05,8.3
20,0.061265,0.115435,0.154093,8.41e-05,8.4
