epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.141817,0.289421,0.173308,1.75e-04,8.2
2,0.080241,0.157783,0.150223,3.00e-04,8.1
3,0.07582,0.148464,0.146744,2.98e-04,8.4
4,0.074444,0.145705,0.145238,2.95e-04,8.0
5,0.073499,0.143575,0.143947,2.90e-04,8.1
6,0.072831,0.142114,0.143473,2.83e-04,8.0
7,0.072267,0.140957,0.142767,2.75e-04,8.4
8,0.071693,0.140002,0.142456,2.65e-04,8.5
9,0.07119,0.138989,0.142338,2.54e-04,8.2
10,0.070619,0.137894,0.142555,2.41e-04,8.0
11,0.070101,0.136763,0.143329,2.27e-04,8.4
12,0.069438,0.135415,0.143681,2.13e-04,8.1
13,0.068677,0.133922,0.144657,1.97e-04,7.9
14,0.067724,0.131876,0.145882,1.81e-04,8.0
15,0.066634,0.129648,0.146999,1.65e-04,9.0
16,0.065385,0.126925,0.148447,1.48e-04,8.4
17,0.063944,0.123877,0.150217,1.32e-04,8.2
18,0.062488,0.120637,0.151538,1.15e-04,8.0
19,0.060983,0.1175,0.152514,9.94e-05,8.0
