sb_id,description,seed,params,train_wallclock_min,val_best_ber,test_ber_overall,test_ber_awgn_bt03,test_ber_awgn_bt05,test_ber_kb2_bt03_m12,test_ber_kb2_bt03_m14,test_ber_kb2_bt05_m12,test_ber_kb2_bt05_m14,batch_size_used,grad_checkpoint_used,notes
sb1,warmup_only,0,399354,2.1,0.148773,0.02285,0.010529,0.011857,0.018843,0.037786,0.018886,0.0392,128,False,OK
sb1,warmup_only,1,399354,1.9,0.146452,0.022774,0.010614,0.011786,0.018586,0.037671,0.018843,0.039143,128,False,OK
sb2,wider_cnn_k31,0,400890,2.1,0.145924,0.022981,0.011371,0.0121,0.018429,0.037043,0.019543,0.0394,128,False,OK
sb2,wider_cnn_k31,1,400890,1.9,0.143769,0.022748,0.011143,0.012329,0.018357,0.036786,0.018929,0.038943,128,False,OK
sb3,depth2_k31,0,702226,2.6,0.141313,0.022581,0.010614,0.0126,0.017929,0.035971,0.019114,0.039257,128,False,OK
sb3,depth2_k31,1,702226,2.9,0.138085,0.022102,0.010257,0.012343,0.017729,0.0353,0.018529,0.038457,128,False,OK
sb4,depth4_k31,0,1304898,4.8,0.137827,0.02255,0.010871,0.012543,0.017843,0.035529,0.019657,0.038857,128,True,OK
sb4,depth4_k31,1,1304898,4.9,0.133951,0.022407,0.011171,0.0126,0.018371,0.035157,0.019214,0.037929,128,True,OK
sb5,width192_depth2,0,1438442,2.0,0.140341,0.022271,0.0103,0.012043,0.018,0.035443,0.018614,0.039229,128,False,OK
sb5,width192_depth2,1,1438442,1.9,0.138908,0.022026,0.010157,0.011829,0.018086,0.035257,0.017886,0.038943,128,False,OK
sb6,width256_depth2,0,2437826,2.3,0.141409,0.022152,0.010414,0.011929,0.018071,0.035414,0.018643,0.038443,128,True,OK
sb6,width256_depth2,1,2437826,2.3,0.13979,0.022188,0.0104,0.012114,0.017957,0.035271,0.018486,0.0389,128,True,OK
sb7,parallel_d192_depth2,0,1437674,2.5,0.141332,0.022169,0.010271,0.011829,0.0177,0.034986,0.018843,0.039386,128,True,OK
sb7,parallel_d192_depth2,1,1437674,2.4,0.140154,0.0223,0.010357,0.012143,0.018329,0.0357,0.017943,0.039329,128,True,OK
sb7,sb7_3seed [s2],2,1437674,2.2,0.142207,0.022105,0.0103,0.011943,0.017729,0.035929,0.018414,0.038314,128,True,OK
sb8_bce,sb8_bce,0,1437674,2.4,0.14124,0.022126,0.010314,0.011871,0.017643,0.034971,0.018729,0.039229,128,True,OK
sb8_bce_ls,sb8_bce_ls,0,1437674,2.4,0.140566,0.022136,0.010129,0.0119,0.017814,0.035186,0.018471,0.039314,128,True,OK
sb8_focal,sb8_focal,0,1437674,2.6,0.142338,0.022183,0.010614,0.0119,0.018029,0.035843,0.018486,0.038229,128,True,OK
sb8_focal_ls,sb8_focal_ls,0,1437674,2.8,0.142409,0.022045,0.010043,0.011871,0.017771,0.0356,0.018414,0.038571,128,True,OK
